name,ticker,figi
РЖД 001Р выпуск 16,ru000a100hy9,BBG00PV1JCS0
Элемент Лизинг 001P-09,ru000a1092s9,TCS00A1092S9
Альфа-Банк 2Р-21,ru000a105uw5,TCS00A105UW5
ГТЛК 001P-20,ru000a1038m5,BBG011FPCMW7
Газпром Капитал ЗО37-1-Д,ru000a105rh2,TCS00A105RH2
ВИС Финанс выпуск 4,ru000a106ez0,TCS00A106EZ0
ТрансКонтейнер П02-01,ru000a109e71,TCS00A109E71
Казахстан выпуск 13,ru000a101s16,BBG011MDDX15
Газпром Капитал,ru000a101qn1,BBG00V93GCX5
Газпром БО-22,ru000a0zzes2,BBG00LLM12G8
Сэтл Групп 002Р-03,ru000a1084b2,TCS00A1084B2
Нижегородская область выпуск 15,ru000a102ds6,BBG00YC5HLP8
О`КЕЙ 001P-06,ru000a1084e6,TCS00A1084E6
Дарс-Девелопмент 001Р-02,ru000a108as9,BBG01MJTH267
Балтийский лизинг БО-П12,ru000a109551,TCS00A109551
ОФЗ 29024,su29024rmfs5,BBG01GJ1FRZ6
ГТЛК выпуск 14,ru000a100fe5,BBG00PGVLT83
МБЭС выпуск 2,ru000a101rj7,BBG00VHHC305
МЦП-01,ru000a109mh5,TCS00A109MH5
МФК Быстроденьги 002Р-07,ru000a1099p0,TCS00A1099P0
Технология БО-01,ru000a107dd7,BBG01KN3X0W0
Удмуртская республика 35002,ru000a0jwt91,BBG00DSS8W00
Альфа-Банк выпуск 40,ru000a0zyu21,BBG00K4MPZ61
Селектел 001Р-04R,ru000a1089j4,TCS00A1089J4
ТрансФин-М 001Р выпуск 4,ru000a0zyeb1,BBG00HYXLFQ7
Селигдар выпуск 1,ru000a105cs1,TCS00A105CS1
Автодор выпуск 1,ru000a103nu9,BBG012JCD404
КАМАЗ БО-П11,ru000a107mm9,BBG01L5QP0V7
Аренза-Про 001P-03,ru000a107217,TCS00A107217
РЕСО-Лизинг БО-02П-05,ru000a1075j3,BBG01K0SLMG3
СДЭК-Глобал выпуск 1,ru000a102sm7,BBG00ZLH4MW3
СибАвтоТранс 001Р-03,ru000a107kv4,TCS00A107KV4
Европлан БО 03,ru000a100w60,BBGHUYNYA0X4
РУСАЛ БО-001Р-05,ru000a1076u8,BBG01K3WY9B1
Сбербанк выпуск SbD1R,ru000a103kg4,BBG0131NQLG8
Бизнес Альянс 1Р-01,ru000a105yq9,TCS00A105YQ9
Ренессанс Кредит выпуск 6,ru000a102rn7,TCS00A102RN7
ОФЗ 26248,su26248rmfs3,TCS00A108EH4
ТЕХНО Лизинг выпуск 3,ru000a102234,BBG00WYH0LS7
Росагролизинг выпуск 3,ru000a103ql1,BBG012NW2KW6
Ростелеком 001Р-09R,ru000a1095w4,TCS20A1095W4
Новотранс выпуск 1,ru000a1014s3,BBG00R2HQKS7
Turk Telekomunikasyon A.S.,ttel0225,BBG00NBJSLV4
Автодор БО-3 выпуск 2,ru000a104xr2,TCS00A104XR2
Газпром Капитал БО-002P-15,ru000a109080,TCS00A109080
Автодор БО-005P-05,ru000a1078l3,TCS00A1078L3
ОФЗ 26229,su26229rmfs3,BBG00PBZNT41
ЕвразХолдинг Финанс 003Р-01,ru000a108g05,TCS00A108G05
ОФЗ 26239,su26239rmfs2,BBG011FHF1F7
Лизинг-Трейд 1P-08,ru000a106987,TCS00A106987
Совкомфлот 1Р-01,ru000a1060q0,TCS00A1060Q0
Совкомбанк Факторинг 001Р-01,ru000a107pn0,BBG01LCLWYF6
ГК Самолет БО-П14,ru000a1095l7,TCS00A1095L7
МТС-Банк выпуск 001P-03,ru000a107456,TCS00A107456
Завод КЭС 001P-05,ru000a107u40,TCS10A107U40
Совкомбанк СЗО-02,ru000a107c59,TCS00A107C59
О'КЕЙ 001P выпуск 1,ru000a105fm7,TCS00A105FM7
ВЭБ.РФ ПБО-002Р-41,ru000a107xa1,TCS00A107XA1
ИК Айгенис БО-01,ru000a1098u2,TCS00A1098U2
АФК Система выпуск 28,ru000a107sm6,TCS00A107SM6
Газпромбанк 001Р-21Р,ru000a104b46,BBG01496C370
ТАЛК лизинг 001P-01,ru000a108e98,BBG01N1LJNY2
Россети Московский регион 001P-05,ru000a107dp1,BBG01KN3GKH2
АФК Система выпуск 11,ru000a100n12,BBG00PVL2PM1
Sultanate of Oman,oma0148,BBG00JQC5C47
Группа Продовольствие 001P-03,ru000a106yn4,BBG01JKRC5F4
СЭЗ им. Серго Орджоникидзе выпуск 2,ru000a102556,BBG00XJF7FL9
Металлоинвест 001Р-06,ru000a1079s6,TCS00A1079S6
МТС выпуск 002P-01,ru000a1075e4,TCS00A1075E4
Медси 001P-01,ru000a105ya3,TCS00A105YA3
РЖД 001Р выпуск 21,ru000a102qp4,BBG00Z6BQMY7
ЛСР выпуск 6,ru000a102t63,RU000A102T63
УК ОРГ выпуск 2,ru000a106l67,TCS00A106L67
Синара-Транспортные Машины 001Р-04,ru000a1082y8,TCS00A1082Y8
Credit Bank of Moscow,xs2384475930,BBG012G07QT0
Ред Софт 002Р-05,ru000a108vm8,TCS00A108VM8
Татнефтехим 001-P-02,ru000a108bx7,BBG01MMP0RM6
ГТЛК ЗО29-Д,ru000a107d58,TCS00A107D58
ФосАгро БО-П02,ru000a109k40,TCS00A109K40
ЕвроСибЭнерго-Гидрогенерация 001PС-05,ru000a108fx8,TCS30A108FX8
Балтийский лизинг БО-П08,ru000a106em8,TCS00A106EM8
ВТБ Б-1-309,ru000a107613,TCS00A107613
Газпром Капитал БО-002P-09,ru000a107050,TCS00A107050
Магаданская область 34003,ru000a106ye3,TCS00A106YE3
Сегежа 002P выпуск 1,ru000a1041b2,TCS00A1041B2
ЛК РОДЕЛЕН 002P-01,ru000a107076,TCS00A107076
ГТЛК выпуск 15,ru000a100z91,BBG00QQ73R50
ВИС ФИНАНС БО-П06,ru000a109kx6,TCS00A109KX6
ИЭК Холдинг 001P-02,ru000a107e08,TCS00A107E08
РЖД 001Р выпуск 13,ru000a1007z2,BBG00NQKW4B0
Агрофирма Рубеж 001Р-02,ru000a107yt9,TCS00A107YT9
РЖД ОАО БО 001Р-17R,ru000a1010m4,BBG00QTH5DF3
Russia 2027 EUR,ru000a102ck5,TCS60A102CK5
ОФЗ 29013,su29013rmfs8,BBG00T22WKV5
Росэксимбанк выпуск 1,ru000a0jx2m2,TCS10A0JX2M2
Гарант-Инвест 002P-07,ru000a106sk2,TCS00A106SK2
АФК Система выпуск 18,ru000a102sv8,BBG00ZH9RB82
Газпром нефть выпуск 6,ru000a106565,TCS00A106565
Делимобиль 1Р-03,ru000a106uw3,TCS00A106UW3
ГК Самолет БО-П15,ru000a109874,RU000A109874
Соколов выпуск 1,ru000a105pk0,TCS00A105PK0
РЕСО-Лизинг БО-П выпуск 8,ru000a102k39,BBG00YMTR6J4
Почта России выпуск 2,ru000a0jxrd5,BBG00GSG5RB1
Электроаппарат БО-01,ru000a104wz7,TCS00A104WZ7
Газпром Нефть 003P-10R,ru000a107uw1,TCS00A107UW1
АЗБУКАВКП3,ru000a109825,RU000A109825
КИВИ Финанс 001Р-02,ru000a107548,TCS70A107548
Уральская Сталь БО-001Р-03,ru000a107u81,TCS00A107U81
АПРИ БО-П05,ru000a104wa0,TCS10A104WA0
Селлер выпуск 1,ru000a106ky0,BBG01HMDD762
АФК Система выпуск 5,ru000a0jwzy6,BBG00FB978L6
Ника 001P-01,ru000a1050x7,TCS10A1050X7
Балтийский лизинг БО-П07,ru000a106144,TCS00A106144
ЛК РОДЕЛЕН 002Р-02,ru000a107sa1,BBG01LGGVP72
Газпром капитал выпуск 14,ru000a1087j8,TCS00A1087J8
Сбер Банк 001P-SBER42,ru000a105sd9,TCS00A105SD9
Сибстекло БО-П04,ru000a107209,TCS00A107209
Свердловская область 35009,ru000a102ct6,BBG00Y9145T6
Реаторг 001Р-01,ru000a105bp9,TCS00A105BP9
Ростелеком 002P выпуск 6,ru000a103ez7,BBG011XNL8K6
Газпромбанк 005Р-03Р,ru000a107ua7,BBG01LTWT856
Башкирская содовая компания выпуск 2,ru000a101ur4,BBG00VWZ21H5
Томская область выпуск 62,ru000a0zymj7,BBG00JM15X21
Селигдар GOLD03,ru000a108rq7,TCS00A108RQ7
СГ-транс выпуск 1,ru000a103yp6,BBG013BSN994
Металлоинвест 001P-04,ru000a105w08,TCS00A105W08
Банк ВТБ Б-1-352,ru000a108dm6,BBG01MRCW5H9
Регион-Продукт 001P-04,ru000a1075r6,BBG01K2753C1
Вита Лайн 001Р выпуск 2,ru000a102b97,TCS00A102B97
ОФЗ 26218,su26218rmfs6,BBG00B9PJ7V0
ЭР-Телеком Холдинг ПБО-02-05,ru000a107bz4,TCS00A107BZ4
Сегежа 003P-03R,ru000a107bp5,TCS00A107BP5
Бизнес Альянс 001Р-03,ru000a107ql2,BBG01LC2C5K7
Моторные технологии 001Р-04,ru000a107td3,TCS00A107TD3
NexTouch выпуск 1,ru000a103wz9,BBG0136Y8NS2
ГТЛК 002P-05,ru000a108ns2,TCS00A108NS2
Соби-Лизинг 001P-01,ru000a105cl6,TCS00A105CL6
ПКТ выпуск 2,ru000a0jw5e3,BBG00C7PQK43
ДиректЛизинг 002P-03,ru000a1094t3,TCS00A1094T3
Аэрофлот выпуск 1,ru000a103943,TCS00A103943
Credit Bank of Moscow,xs1143363940,BBG007KHNMS0
Газпром выпуск 23,ru000a0zzet0,BBG00LLM4499
Омега БО-01,ru000a1092t7,TCS00A1092T7
М.Видео выпуск 4,ru000a106540,TCS00A106540
ВТБ ЗО-Т1,ru000a1082q4,TCS20A1082Q4
